"opening","total_times_used","win_count","draw_count","loss_count","total_times_used_to_total_games_percent","win_count_to_total_times_used_percent"
"Italian Game: Two Knights Defense, Modern Bishop's Opening","2","2","0","0","2.02","100.00"
"King's Pawn","2","2","0","0","2.02","100.00"
"Scandinavian Defense","2","2","0","0","2.02","100.00"
"Caro-Kann Defense: Advance Variation, Bayonet Attack","1","1","0","0","1.01","100.00"
"Caro-Kann Defense: Advance Variation, Short Variation","1","1","0","0","1.01","100.00"
"Caro-Kann Defense: Hillbilly Attack","1","1","0","0","1.01","100.00"
"Center Game: Paulsen Attack Variation","1","1","0","0","1.01","100.00"
"English Opening: King's English Variation","1","1","0","0","1.01","100.00"
"English Opening: King's English Variation, Two Knights Variation, Reversed Dragon","1","1","0","0","1.01","100.00"
"Englund Gambit Declined, Reversed French","1","1","0","0","1.01","100.00"
"French Defense: Advance Variation","1","1","0","0","1.01","100.00"
"French Defense: Normal Variation","1","1","0","0","1.01","100.00"
"French Defense: Winawer Variation, Advance Variation","1","1","0","0","1.01","100.00"
"Italian Game: Classical Variation, Greco Gambit, Traditional Line","1","1","0","0","1.01","100.00"
"King's Gambit Accepted, Modern Defense","1","1","0","0","1.01","100.00"
"King's Gambit Declined, Queen's Knight Defense","1","1","0","0","1.01","100.00"
"King's Pawn Game: Busch-Gass Gambit","1","1","0","0","1.01","100.00"
"Neo-Gruenfeld Defense: Classical Variation, Original Defense","1","1","0","0","1.01","100.00"
"Nimzo-Larsen Attack: Classical Variation","1","1","0","0","1.01","100.00"
"Owen Defense","1","1","0","0","1.01","100.00"
"Philidor Defense #3","1","1","0","0","1.01","100.00"
"Pirc Defense #4","1","1","0","0","1.01","100.00"
"Pirc Defense #5","1","1","0","0","1.01","100.00"
"Polish Opening","1","1","0","0","1.01","100.00"
"Queen's Pawn Game: London System","1","1","0","0","1.01","100.00"
"Queen's Pawn Game: Mason Attack","1","1","0","0","1.01","100.00"
"Queen's Pawn Game: Zukertort Variation","1","1","0","0","1.01","100.00"
"Russian Game: Classical Attack","1","1","0","0","1.01","100.00"
"Sicilian Defense: French Variation","1","1","0","0","1.01","100.00"
"Sicilian Defense: French Variation, Normal","1","1","0","0","1.01","100.00"
"Sicilian Defense: Kan Variation, Maroczy Bind, Reti Variation","1","1","0","0","1.01","100.00"
"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack","1","1","0","0","1.01","100.00"
"Sicilian Defense: Old Sicilian","1","1","0","0","1.01","100.00"
"Sicilian Defense: Paulsen-Basman Defense","1","1","0","0","1.01","100.00"
"Sicilian Defense: Smith-Morra Gambit Accepted, Kan Formation","1","1","0","0","1.01","100.00"
"Slav Defense","1","1","0","0","1.01","100.00"
"Three Knights Opening","1","1","0","0","1.01","100.00"
"Torre Attack #2","1","1","0","0","1.01","100.00"
"Scandinavian Defense: Mieses-Kotroc Variation","3","2","0","1","3.03","66.67"
"Van't Kruijs Opening","3","2","0","1","3.03","66.67"
"Caro-Kann Defense: Two Knights Attack","2","1","0","1","2.02","50.00"
"French Defense: Knight Variation","2","1","0","1","2.02","50.00"
"Indian Game","2","1","0","1","2.02","50.00"
"Ruy Lopez: Steinitz Defense","2","1","1","0","2.02","50.00"
"Queen's Pawn Game: Chigorin Variation","2","0","0","2","2.02","0.00"
"Saragossa Opening","2","0","0","2","2.02","0.00"
